date,sp500,nasdaq,us_vix,move,hyg,lqd,dxy,us10y,crude,usdinr,sensex,nifty,india_vix
2008-04-18,1390.3299560546875,2402.969970703125,20.1299991607666,144.10000610351562,31.83018684387207,51.996421813964844,72.01000213623047,3.743000030517578,116.69000244140625,39.65399932861328,16481.19921875,4958.39990234375,27.100000381469727
2008-04-21,1388.1700439453125,2408.0400390625,20.5,135.1999969482422,31.77823829650879,51.827919006347656,71.6500015258789,3.7119998931884766,117.4800033569336,39.81700134277344,16739.330078125,5037.0,27.100000381469727
2008-04-22,1375.93994140625,2376.93994140625,20.8700008392334,129.10000610351562,31.820457458496094,51.71392059326172,71.33000183105469,3.7200000286102295,119.37000274658203,39.827999114990234,16783.869140625,5049.2998046875,39.619998931884766
2008-04-23,1379.9300537109375,2405.2099609375,20.260000228881836,125.5999984741211,31.95033073425293,51.87252426147461,71.81999969482422,3.7300000190734863,118.30000305175781,39.86000061035156,16698.0390625,5022.7998046875,32.369998931884766
2008-04-24,1388.8199462890625,2428.919921875,20.059999465942383,129.1999969482422,31.96004867553711,51.80311965942383,72.54000091552734,3.8269999027252197,116.05999755859375,40.03499984741211,16721.080078125,4999.85009765625,28.729999542236328
2008-04-25,1397.8399658203125,2422.929931640625,19.59000015258789,131.0,32.11265182495117,51.827919006347656,72.79000091552734,3.865999937057495,118.5199966430664,40.064998626708984,17125.98046875,5111.7001953125,27.399999618530273
2008-04-28,1396.3699951171875,2424.39990234375,19.639999389648438,130.10000610351562,32.3010139465332,52.07572555541992,72.79000091552734,3.8350000381469727,118.75,40.03099822998047,17015.9609375,5089.64990234375,27.6200008392334
2008-04-29,1390.93994140625,2426.10009765625,20.239999771118164,126.5,32.20683288574219,52.23929977416992,72.88999938964844,3.825000047683716,115.62999725341797,40.29999923706055,17378.4609375,5195.5,26.15999984741211
2008-04-30,1385.5899658203125,2412.800048828125,20.790000915527344,119.0999984741211,32.23932647705078,52.53172302246094,72.51000213623047,3.759000062942505,113.45999908447266,40.38600158691406,17287.310546875,5165.89990234375,26.15999984741211
2008-05-01,1409.3399658203125,2480.7099609375,18.8799991607666,115.19999694824219,32.924434661865234,52.84184646606445,73.27999877929688,3.749000072479248,112.5199966430664,40.38600158691406,17287.310546875,5165.89990234375,26.15999984741211
2008-05-02,1413.9000244140625,2476.989990234375,18.18000030517578,111.80000305175781,32.59135818481445,52.533203125,73.5,3.8450000286102295,116.31999969482422,40.48500061035156,17600.119140625,5228.2001953125,24.209999084472656
2008-05-05,1407.489990234375,2464.1201171875,18.899999618530273,108.9000015258789,32.53911209106445,52.60789489746094,73.19000244140625,3.8450000286102295,119.97000122070312,40.52000045776367,17490.900390625,5192.25,25.06999969482422
2008-05-06,1418.260009765625,2483.31005859375,18.209999084472656,110.4000015258789,32.30725860595703,52.26934814453125,73.0,3.8929998874664307,121.83999633789062,40.67300033569336,17373.009765625,5144.64990234375,24.90999984741211
2008-05-07,1392.5699462890625,2438.489990234375,19.729999542236328,116.0999984741211,32.33010482788086,52.40874099731445,73.51000213623047,3.867000102996826,123.52999877929688,41.316001892089844,17339.310546875,5135.5,25.059999465942383
2008-05-08,1397.6800537109375,2451.239990234375,19.399999618530273,119.69999694824219,32.26152038574219,52.64274597167969,73.4800033569336,3.805000066757202,123.69000244140625,41.70000076293945,17080.650390625,5081.7001953125,25.940000534057617
2008-05-09,1388.280029296875,2445.52001953125,19.40999984741211,121.0999984741211,32.33010482788086,52.64274597167969,73.05000305175781,3.7669999599456787,125.95999908447266,41.4119987487793,16737.0703125,4982.60009765625,27.530000686645508
2008-05-12,1403.5799560546875,2488.489990234375,17.790000915527344,118.30000305175781,32.28765869140625,52.59296798706055,72.94999694824219,3.7750000953674316,124.2300033569336,41.83100128173828,16860.900390625,5012.64990234375,31.5
2008-05-13,1403.0400390625,2495.1201171875,17.979999542236328,120.9000015258789,32.27783966064453,52.29427719116211,73.2699966430664,3.9089999198913574,125.80000305175781,41.9739990234375,16752.859375,4957.7998046875,33.43000030517578
2008-05-14,1408.6600341796875,2496.699951171875,17.65999984741211,127.19999694824219,32.232120513916016,52.3241081237793,73.4000015258789,3.937999963760376,124.22000122070312,42.3650016784668,16978.349609375,5011.75,29.219999313354492
